rating,review,date,userName
3,draining battery,2021-08-25 06:02:01,Amer1980
4,needs urgent hotfix,2021-02-02 15:13:21,Edgur
4,offline work,2021-09-11 18:48:10,Omer Gujjar
5,excellent,2021-09-21 18:28:37,Dr-Zouheir
5,application take much batter,2021-02-06 13:09:06,elvies08
5,great app,2021-09-13 13:33:18,abdulrahman mukhtat
4,update issue,2021-09-23 03:36:25,khurrambhatti37
4,offline facility,2021-09-10 19:59:29,AMPAPR
3,location continue use,2021-02-16 07:55:54,Sarah1992k
5,request timed,2020-05-25 10:58:16,Waleedrfk90
1,compulsory vaccination,2021-07-01 20:50:12,Fof1167
5,app work offline well,2021-02-20 13:51:26,arfeenzia
5,pretty good app,2021-02-06 20:39:22,Coolman12341234
3,heat problem,2021-09-27 02:40:41,Abdulelah Abulnaja
5,e gov,2021-03-24 19:44:35,Groundfloor99
5,vehicle document not updating,2021-09-13 21:04:01,biggbee1990
5,app work line,2021-08-31 07:08:24,ABDULLAH al Ghamdi
5,useful app,2021-02-18 22:00:09,Hadi Mansi AlSharif
1,tawakkalna,2021-02-03 17:21:38,punyet@kasi
1,limited,2020-05-07 15:42:21,Tka_tha
1,worst app,2021-09-30 12:04:22,ghbijj
4,new version,2020-06-09 11:48:10,cvbgfdtrew
4,features flexibility,2020-05-25 09:40:38,Saeed.Ali
2,issues,2020-05-20 00:54:39,Hasaf391
5,may update work properly,2021-05-14 10:13:15,Luxury Customer
1,unreliable app,2021-02-02 18:30:03,FoxDie84m
4,not working latest upgrade,2021-05-14 16:37:44,Sindu335
5,great application,2020-05-15 12:32:17,SAMINA A. KHAN
2,inconsistent reporting data,2021-06-09 04:52:56,AbyVin
4,timing,2020-06-06 13:34:35,shokru1
5,excellent application,2021-02-10 11:38:18,Huda H.
3,app crashing latest ios,2021-05-23 16:36:08,faysalahmed
2,network connection lost,2020-04-12 05:20:44,Mtv Jr
5,great,2021-02-16 09:53:19,Salgarni
5,offline work,2021-09-10 13:41:31,Anwar Feni
2,battery drain problem,2021-09-17 15:00:03,NCG_FireMode
5,good,2021-04-16 21:42:50,Ali Al-Hammad
5,apple watch,2021-08-20 12:20:04,A tawakalna user
5,app not working ios beta,2021-06-09 05:41:40,Majed A. Khomayes
5,matter,2021-03-02 11:56:18,areej.abdullah
5,thank,2021-02-18 14:42:06,وليد ٢٠١٣
4,offline access,2021-09-09 14:58:09,jami khan
5,cannot see photo id,2021-04-25 14:40:38,mohmasrahy
5,problem,2021-04-02 14:34:22,girl785
5,appreciated,2021-02-05 17:30:27,RashedM7
5,visit visa,2020-06-02 14:06:15,T2M1R
4,status card applepay,2021-08-05 07:16:36,Fahad ALSHAMMRANI
1,mercy phone battery,2021-04-18 14:21:31,Qazee112211
3,awesome app,2021-03-30 22:56:48,shoogah97
5,great,2021-02-18 10:09:38,mubarakih
4,family card,2021-03-28 10:13:39,mohamayh
5,update error,2021-05-29 06:48:28,Arif Khan SK
5,perfect,2021-05-20 20:41:16,Nmj992
4,immune not update,2021-09-03 21:47:34,nadupulla
5,functionality,2020-12-31 16:58:28,bmasa123
3,something went wrong,2020-05-25 10:30:14,Miss-Ro
4,not working,2021-04-07 19:12:17,Ahmad gud
3,need help app crashed,2021-06-13 02:03:42,@_astgfer_
1,battery,2021-07-05 03:25:53,Max~ ..
5,app improvement,2021-04-09 23:28:16,Renad-m.a
3,battery hogging app,2021-06-18 10:31:24,Maryam Naveed
4,update error,2021-10-01 08:59:43,188moon81
5,update,2021-05-15 17:48:56,abdbazzaz
5,good app,2021-03-30 20:41:09,waleed sk
4,great app one issue,2021-09-30 07:55:38,Saud_A
4,suggestion,2021-04-18 02:07:33,Nourahar
1,broken app,2021-09-11 19:24:17,Thamir78
5,incredible app,2021-02-18 18:43:30,saudistok99
5,edit profile,2020-05-11 13:27:29,m90sa
3,mobile no not syncing absher properly,2021-06-15 05:40:57,sultan 1984
3,gets logged frequently latest update,2021-09-05 02:52:07,Icici.bank.user:
5,access gps,2021-02-07 08:27:22,Info4all
2,log issue,2021-02-04 11:40:42,Lhon27
3,depending relative,2020-05-14 01:28:19,PDhmhglcLK11@
3,iqama,2021-04-14 05:04:54,Bin Mukhtar
3,password error message,2020-12-30 19:27:53,HamadXpVp
1,always tracking location,2021-09-13 06:52:43,Testing Dept.
1,battery drainer,2021-06-14 04:51:38,sam kk 2021
5,easy use,2021-03-24 21:38:14,Alya Ali 2020
5,mr,2021-02-17 16:25:11,Abozayedksa2030
5,good app need improve,2020-05-12 10:27:32,MK.AZI KALPAKANCHERY
4,good app,2020-04-18 06:35:48,Arabic_tor_can
3,customer care services,2021-09-01 15:21:24,Youssef133083
5,amazing idea,2021-02-17 01:41:04,ابو حربوع
3,offline app,2021-02-16 10:53:35,Abudovud
5,fai,2021-09-06 18:48:31,Fai559922
2,crashes,2021-05-30 19:16:16,AshrafAta
1,language issue,2020-05-22 12:02:21,Q-shah
5,great app,2021-06-22 15:06:23,Annie_Lfs
5,app work offline also,2021-06-08 20:36:34,Abdul Hai Mohammed Nabi
5,review,2021-02-17 16:22:19,f 111
2,drains battery,2021-02-15 04:40:48,Sumaira arif
5,thanks take care,2021-02-03 02:09:48,crazycusmo
5,great app,2020-05-25 16:24:23,phantom4444
2,error message,2020-05-05 12:35:07,mag819
5,offline,2021-09-03 22:25:55,Azmitash
2,server feb,2021-02-04 09:19:11,dammam STA
1,poor management ios kills battery,2021-10-01 11:23:37,That Arabian Guy
5,unique app,2021-02-16 09:01:54,Abo_lara
1,utter waste times needed,2021-05-10 19:22:18,Hsk_17
1,application not mark,2021-02-04 08:10:29,sherafudheen
4,miss,2021-09-09 19:30:35,Lgckgxxk
5,effective solution,2020-04-07 00:37:23,Mohamed Albitar
3,updated records lost,2021-09-12 06:26:06,xyruzcyreavreel
3,number update,2021-06-29 08:33:59,arcuens
5,login server,2021-02-04 07:00:42,mallique arman
5,not letting create account,2021-01-31 20:33:37,ziad al homsi
1,not accessible,2021-02-03 18:04:18,nadifayez
5,amazing idea,2020-04-25 20:49:49,Yaser alosaimi
5,bring ios widgets,2021-05-02 01:06:09,0564400608
1,not allowed,2020-04-16 08:25:42,ConkrStuff
5,beneficial app,2021-02-16 19:10:04,nasserhamed
1,last update made worse,2021-09-04 07:52:45,Feras 𐂂
5,appreciation,2021-04-17 12:25:34,Dr. Ibrahim F.
1,bad experience,2021-01-11 08:58:36,Malekfs
1,bad privacy policies,2020-05-25 18:38:18,djanym
1,bad,2021-05-31 00:20:51,iiXuser
5,not working,2021-02-04 17:49:21,YHenSab
5,great,2020-05-05 14:38:40,Hamzah K M
5,integration ksa healthcare system,2021-09-30 15:24:58,mahaomar
5,compatibility apple watch,2021-08-25 14:08:08,M7amds22
4,offline,2021-06-23 09:28:55,Fore0730
2,battery killer,2021-08-10 16:39:53,JObro48
4,great app,2020-05-25 15:52:14,Rxz1
3,app crashes closes version,2021-05-23 20:55:10,MageshT
5,iphone,2021-05-18 05:51:03,mhm041
4,suggestion,2021-05-21 06:34:45,jim.2010
5,good,2021-04-06 20:53:47,Yo yodkdkddk
2,make location services using,2021-03-24 14:30:30,Solar080
5,amazing,2021-02-17 11:31:15,MohammedKrizy
1,unable reset password,2020-07-07 08:02:48,RehanToday
5,useful app,2021-02-16 09:52:27,84Mutaz
1,unreliable app,2021-02-04 06:16:24,mazaki88
3,battery consumption high,2021-02-26 21:29:39,Eirij
3,excellent application,2021-02-17 20:09:27,مواطن سعودي ١٢٣
5,tawakalna app issue,2021-05-28 22:08:25,Cheb G
1,says owner id deceased,2021-02-11 18:17:49,DocDee3
1,worst app,2021-01-08 20:12:27,XLSamair
1,tried register expat work,2020-04-17 11:06:55,The_ONE@74
5,excellent,2021-02-18 17:43:30,Monash2030
1,work worked,2021-02-04 09:12:28,ahmadani1
4,permit visit visa member,2020-05-25 13:14:34,Syed Tky
4,please optimized reduce battery usage,2021-02-13 06:08:28,DawnFx
3,agree reviews,2020-05-08 13:12:04,Ramzimo68
3,login failed,2021-02-03 18:44:16,Taravej66
3,watch,2021-04-17 11:59:41,B6aaa9
3,ca not support,2021-02-04 06:15:23,no sale paid odk
3,troubleshooting,2020-04-14 11:33:05,Jmg🇮🇹
5,experience application,2021-02-16 19:18:01,Moe_Ateiah
4,institutional quarantine,2021-07-14 13:02:01,danish495
3,app not able login today,2021-02-10 15:15:06,Reshliya
1,not working,2021-02-09 12:15:36,razakimran
1,service not available overload etc,2021-02-04 00:03:09,Agh-staff
3,error,2021-02-03 23:49:33,158sh-t
3,error,2020-05-09 21:38:15,OmarK13
5,thanks,2020-05-07 11:59:00,Maram1992
1,exploiting privacy,2021-07-06 07:14:54,محمد فهد صا
1,bad operation,2021-06-28 17:59:40,gbvnoin cddfj
1,really bad implementation,2021-04-17 05:41:32,ArslanKhanAK
1,always track location,2021-02-06 17:02:47,Dr. Abdullah F
4,health pasport,2021-09-01 01:54:47,FesalBanjar
1,bad,2021-02-04 05:39:30,faizi_9900
5,great easy w,2020-05-06 17:23:41,Alfazolo
5,tawakalna,2021-02-28 15:30:21,Kokkie-Kekko
4,not getting otp,2021-02-04 16:37:27,yoonxoopaa
5,vaccination,2021-07-15 08:42:10,Shifa waleed
3,new update not working,2021-04-11 17:17:27,Kaizen Rehman
5,tawelkena,2021-02-06 18:25:07,Abiboula Khan
4,error display language,2021-01-25 06:51:24,babudukku
2,cannot log,2021-02-04 05:27:37,chinnu44
4,recommendation,2021-08-11 07:06:33,Eng.Zohaib
4,app not opening,2020-05-25 10:52:04,Ihsanadil
3,need help,2021-08-08 13:28:50,# RZ
5,honorable good application,2021-04-17 10:01:39,مدمن الاهلي
5,amazing service,2021-04-16 20:34:03,Husam.M.A
5,excellent app,2021-02-19 22:18:25,M. Alsayegh
5,review,2021-02-17 16:23:27,A195t
1,error,2020-08-29 13:38:39,Za2277
2,quarantine days not showing,2021-07-28 21:00:31,gemsuis
1,unable sign,2020-05-15 00:38:25,SaadShakhshir
3,telecom companies sharing,2021-04-17 02:14:51,Fahim AlShammari
1,bad experience,2021-05-03 00:08:52,NBorham
3,app crashes,2020-05-06 12:52:17,Muddassir M
2,cant make tawaklna id,2021-02-27 23:32:21,Jabbar Kandhro
1,work issue login details,2021-02-07 07:08:06,Azharuddin shaikh
5,system not working,2021-02-04 14:14:50,andrie5001
1,please fix app,2021-02-03 20:14:30,Omar Mohammed-Youssef
5,application,2021-02-03 14:02:48,AhmadMido
1,app needs attention,2020-12-12 16:23:53,Icell12
3,passport not updated,2021-06-18 08:45:19,ayman reviews
5,suggestion,2021-06-25 09:37:34,Maryam19102010
5,application lot options,2021-03-24 22:37:21,Ali Haboub
1,service,2021-02-04 06:18:35,Rawan1001
2,not able sign,2020-05-12 22:21:39,Enghaj
1,battery drain issue,2021-08-10 16:37:07,Do2do64
1,lead major disturbance,2021-07-13 04:19:52,dobtor u
5,excellent,2021-02-05 12:04:26,fahad al sweleh
5,best app ever,2021-10-01 11:46:19,Ham.san
5,good program,2021-09-11 17:47:57,Abooodi102
2,digital documents not showing,2021-07-16 16:29:52,saif0613
4,,2020-04-07 21:55:31,fdhfsh
1,not working,2021-02-04 16:07:24,uuuytviud
1,app not working well,2021-02-03 19:32:22,gydionnicolie
3,medical passport not everyone,2021-01-18 07:43:33,Cyclotroned
4,border numbers,2021-09-12 11:49:16,Elamir Moustafa
1,eating whole battery,2021-03-28 13:18:21,Anvarji
3,provide free internet connection,2021-02-16 09:25:25,mgnbdl
1,point work,2021-02-04 16:44:41,jigllymighly
5,trust us,2021-02-23 02:04:03,R1ma88
1,not working,2021-08-18 17:17:43,Asdfghkljbdhdgevhz
5,great app,2021-02-16 17:41:41,Saeed Ghamdi
5,amazing,2020-04-17 18:26:13,mo7md21
1,not working,2021-02-04 16:58:50,محمد طيب
2,mohamed,2020-05-25 11:28:14,fahmy122
1,app crashes frequently,2020-05-25 10:53:34,Ghavskd cjlams
1,cant add residence,2020-05-20 09:12:54,Wardu
5,great wonderful app,2021-09-09 17:09:40,yassarbabu
5,great app,2021-07-02 19:23:27,Majed J
1,breach privacy,2021-05-16 22:16:45,Ali fayez rajab
4,offline,2021-04-18 19:01:00,Rizsayed
1,big problem,2021-04-27 17:04:10,Maaansooour
5,great app,2021-02-17 23:19:14,SULTAN ALENAZI
3,not bad,2021-02-16 20:20:37,Nawafhmoud
2,slow app,2021-02-06 17:40:05,NavEeN Gopi
1,good insufficient capabilities,2021-02-04 12:40:48,abskiey
2,error,2021-02-04 09:14:23,dugyot1212
5,great app,2021-09-04 00:32:03,Musaad F abu
1,app not working properly,2021-06-14 22:04:17,Qaiser Rasheed
5,best health app,2021-03-24 19:59:29,Azizalsadi1
2,not working needed,2021-04-02 15:58:39,Naf_ahmed
1,app not working,2021-04-01 14:30:39,marbaeen
5,thank,2021-02-17 20:38:03,turki bae
1,not good,2021-03-07 03:40:17,rosgeen
5,not working,2021-02-03 22:13:07,Rahzeus
5,wonderful application,2021-10-01 05:23:44,Mo Abaza
1,apps not working,2021-02-03 17:08:12,mwalnassar
5,apple pay,2021-08-04 17:28:06,hamooozi
1,technical issue,2021-08-24 19:35:34,belal 14
5,love app,2021-02-17 05:33:40,Halah501
3,keeps logging,2021-09-10 08:08:45,bibonagy
1,battery,2021-02-13 18:27:16,Osamam9
1,stupid app,2021-02-04 08:17:45,Aref88
1,need improvement publish public,2020-05-25 22:39:07,مسلم في بلاد الغرب
5,useful,2020-05-14 05:52:07,Hanan.s.alharbi
3,change language,2020-05-06 12:43:07,Samernj
2,app keeps crashing quit,2021-05-15 06:57:58,Ahmed Al-Farhan
5,best application,2021-02-17 22:50:07,thank you for good update
1,issue,2021-02-05 23:35:19,Concious Observer
1,open sometimes error,2021-02-03 20:03:03,Robin nelson ksa
3,battery drain issue,2021-08-13 11:09:09,ZzYs098
1,unable signup,2020-05-04 08:32:17,M@j!
5,iwatch app,2021-08-05 02:19:06,Aboelnasr
5,amazing,2021-05-26 13:43:09,Saleissa
5,good app,2021-02-17 11:27:12,omar albader
1,slow,2021-05-25 04:52:29,viciousqueen87
1,faisal,2021-03-26 07:15:37,Sparkis 00246
1,not opening,2021-02-10 08:47:05,zoomy 13
1,fix app,2021-02-04 09:06:33,NawafZeeshan
1,location issues,2020-05-26 04:09:08,marzooan
4,number,2021-02-18 10:51:38,معاذ البركاني
5,appreciation,2021-09-10 21:43:13,ferras9
1,location tracking,2021-08-18 12:46:46,isn3500
5,digital ksa,2021-04-07 22:16:28,NezarQusai
3,bugs,2021-04-07 18:04:42,Un known.70
1,bad app,2021-02-04 09:05:52,Raeda sameeh
1,application keeps crash opening,2020-12-31 21:02:01,Hantooly
5,amazing app,2020-05-23 13:26:05,tommksa
1,important message,2020-05-06 17:10:45,muid001
1,user not allowed,2020-04-16 19:47:48,Spider Reno
1,location services,2021-08-15 22:36:23,kusjan
1,always error,2021-08-09 06:54:40,Dpurple87
5,best program,2021-02-18 17:51:15,alnasnaser
2,consumes phone resources badly,2021-02-16 10:34:51,MostafaAbdo
1,handle overload logging,2021-02-02 18:26:41,Aljazi91
1,doesnt work,2020-05-04 00:55:33,Mzekrallah
1,error password section,2020-04-07 19:21:42,1234kho
1,high power consumption,2021-06-27 15:48:10,majedmaj213
5,must,2021-02-18 01:23:50,Suad F
5,thank ksa,2021-02-17 16:51:03,Sultan.aljohani
4,bug fix,2020-05-14 20:47:09,Engr Naveed
1,bad software prepared,2021-02-04 01:14:45,Meghanathpc
1,unusable,2020-09-26 18:56:12,az sultan
5,great app,2020-04-18 07:33:32,Maher Alsharif
1,useless,2020-04-15 14:01:46,FSRII
3,battery,2021-09-12 11:27:37,1244sds
5,wonderful app,2021-06-22 21:28:40,المعتصم بالله 2031
5,trust us,2021-05-22 09:41:21,SalMan AljOmeRI
1,not satisfied,2021-02-04 15:22:17,12@9033
3,much slow log,2021-02-04 08:36:52,mazesarcom
2,not logging,2021-02-04 06:39:03,Arunkrish004
2,register,2020-04-19 15:39:16,khallaom
5,great idea,2020-04-10 04:14:03,HA!L
1,app getting crashed latest update,2021-06-04 04:52:12,Shamim90
1,bad performance,2021-02-04 08:44:31,asad 577777
1,app draining battery,2021-02-04 04:35:45,Zakariya Hussain
3,battery consumption,2021-08-26 20:39:14,Ali.AlNasser
5,useful,2020-05-06 17:43:41,الدكتور محمد
5,add vaccination option visit visa holders,2021-05-24 05:19:04,riznih
1,battery issue,2021-08-14 20:05:59,Asadaliz
4,ease use,2020-05-06 13:28:52,hibaaq11
5,great app,2021-02-16 19:43:42,Meshsolute
1,work,2021-02-07 18:44:58,𝗠𝗲𝗵𝗲𝗱𝗶
3,immunity health passport not updating eventhough already done dose covid vaccine,2021-01-19 13:00:38,reginozamora
4,suggestion,2021-03-24 14:50:13,Kayl9
1,battery drain,2021-08-17 13:06:19,saud383
5,great app,2021-04-17 13:26:47,Yara Alharbi
5,battery drain,2021-02-05 07:58:32,ikhangidi
1,manadatory,2021-02-04 13:56:51,RealIndian28
1,not working,2021-02-04 13:01:29,blinky412
1,application work,2021-02-03 21:16:45,ابولدن
1,rejection,2020-05-24 01:47:11,Bawadi88
3,good,2020-05-16 15:32:44,Only Memo
5,perfectly,2021-09-11 20:21:33,zxzccxsdgyddvhdsrhjxxv
3,offline,2021-09-11 15:05:46,soban2015
1,battery issue,2021-08-15 05:16:01,NT Ch
1,feedback,2021-06-27 15:18:22,LLAA07
2,need update,2021-06-05 14:26:12,Naifaw
5,perfect,2021-02-17 09:41:14,Turkiy
1,bad performance many issues,2021-02-03 20:39:43,zabbenak
4,future e gov,2020-12-31 02:47:52,Saud AlSahli
5,great app,2020-05-04 13:52:47,Waleed H Alghamdi
1,consumes battery,2021-09-06 21:50:33,gannah saif
3,not supporting apple phone,2020-05-11 03:39:35,dagrg
2,not working,2020-05-25 10:17:57,#Ahsan
5,shah alom,2020-05-25 09:22:20,محمد ساه علم
5,good app,2020-05-12 00:39:33,Alisallami
1,sign,2021-08-16 10:59:49,MakiMlegends
1,privacy concerns,2021-06-27 13:38:58,Sameer.mg
5,wonderful app,2021-02-18 16:11:19,"Damian""',23"
5,useful application,2021-02-17 06:28:46,M🤩🤩🤩S
1,worse app ever,2021-02-16 19:14:43,sultan s s s
1,not working,2021-02-04 19:25:59,Social working
2,unable login since morning,2021-02-04 10:24:24,Sharif I D S
1,app not working,2021-02-04 06:50:53,Mohdaa81
5,,2021-09-03 01:34:44,almedo18
1,glitch,2020-04-07 22:39:35,ahmed357744
2,battery usage,2021-09-22 18:42:23,frsnssr
1,changing phone number,2021-09-05 08:24:46,Radhan Paul
1,not working,2021-02-04 17:25:55,3youn
3,signup someone no absher,2021-09-08 15:51:45,KarimTM
1,privacy,2021-02-02 08:26:51,Adam Father of All
5,amazing app,2021-09-18 12:31:41,it's nice brogram I like it
3,age,2021-02-04 08:03:44,Qays khan
1,offline,2021-07-08 17:30:43,mashael y
1,suggestion,2021-06-17 05:29:58,nitinjzef
1,app keeps crashing,2021-06-14 15:46:08,Wal'a
5,efficient app,2021-02-18 13:42:20,abdullllll1
5,great thing happend pandemic,2021-02-17 21:31:10,Nice Eng.
5,excellent,2021-02-16 19:31:33,yaser080
5,good job,2021-02-16 18:03:38,ابوخالدAbokhaled
2,bad update,2021-02-05 07:58:15,7arranco
1,annoyed,2021-01-02 17:28:45,Umm Hana
1,bad service app,2021-09-02 20:02:58,saleh.ty
1,crashing,2021-05-31 11:52:14,oopeicke
5,helpful application,2021-02-17 11:23:46,Salbalwi
1,not working,2021-02-04 17:23:44,SC: Yua339
2,battery consumption,2021-08-31 07:36:38,Awad151
1,worst server response,2021-02-03 18:34:16,shahid2986
1,forget password work,2020-05-25 11:10:28,Sufi Hani
4,battery draining app,2021-08-10 01:05:06,bokhli99
3,suggestion,2021-06-22 13:46:52,Jutt 99
1,fix,2021-05-17 12:55:59,ibrahimkhalilserdah
1,battery drain,2021-02-13 11:50:25,uzi210
1,poor service,2021-02-09 11:19:27,03vince11
1,not working,2021-02-03 21:22:46,hareed11
1,app work,2021-02-02 17:48:03,ShaikhTanzim
1,not working latest update,2020-05-25 12:31:14,Dr-Mo
1,spy software,2021-07-02 05:38:20,The.Rock.911111
1,plz work app like facebook,2021-02-04 17:11:49,hjkhddtujbcsryhb
1,much problem,2021-02-04 14:29:29,mohammad Aftab Ansari
1,slow opening otp not coming second time logging,2021-02-04 10:19:43,mehranalikhan1234567778
1,need improve app,2021-08-31 13:07:45,Almaglad
5,thank,2021-08-08 21:57:54,تطبيق غير جاهز
1,vehicle registration not updating,2021-04-21 08:30:29,raja1117282&
1,not handle pressure,2021-02-05 17:34:09,Saudi_Guy
1,user not allowed,2020-04-16 09:32:01,Ahmedhamza
1,error registering,2020-04-07 14:30:45,Maq993
1,drains battery,2021-08-01 22:19:32,QassemNa
1,battery drain,2021-02-19 19:42:34,mohsha06
4,ai remarkable app,2021-09-03 06:30:51,Tamer M Mohamed
5,abdullah hamali,2020-05-13 07:55:29,Abdullah Hamali
1,not working,2020-04-16 22:35:32,Jamal Al Akkad
1,unable sign,2020-04-14 20:35:04,Reemakhan
1,register new user,2020-04-08 19:02:50,blackmasry
1,battery issue,2021-07-28 08:21:39,Mohammad Toolbar
1,health passport,2021-07-12 22:58:20,wiki210
5,distinctive application,2021-02-17 21:30:21,HBO-LBO
1,bad,2021-02-04 03:08:50,Sultanzo
1,forced use,2021-02-03 17:35:43,Ansariaa
1,sign,2020-05-06 15:11:07,Moshateri
5,like,2021-09-09 15:33:32,Fahad hamoud
5,easy use,2020-07-03 20:49:27,M S Alagha
1,please add apple wallet feature,2021-04-07 12:11:48,Abdul1990s
1,app not working,2021-03-31 15:16:51,riy12
5,great app,2021-08-08 15:11:39,Frdgfee
1,never work,2020-05-05 01:06:53,Ahmad HM
2,otp not arrive,2020-04-09 08:19:24,R3he
1,not working ios,2021-09-30 08:46:48,itumi
1,privacy,2021-08-13 21:14:04,murad 76
5,large enterprise application,2021-02-06 18:47:57,THUMAYRI.W
5,amazing,2020-04-09 04:05:41,Ab abdulaziz
1,app crash,2021-02-04 13:20:58,EliYsmael
1,tawakklana,2021-02-04 06:16:37,Zeroah
2,new update bad,2020-05-25 13:39:17,dnickname0
1,location policy issue,2020-05-15 12:28:39,Ultramax80
5,great application,2021-02-16 21:22:46,HaniSWE
1,spy app,2021-06-26 10:59:58,iphone xs max i1
1,always server error rating,2021-04-12 16:39:47,m.r hadii
5,amazing app,2021-03-21 13:23:33,Sultanaaaaaaaaaa
1,app crashes,2021-02-10 09:47:20,PauloPR-BR
1,cannot log,2021-02-04 04:06:13,ghost_909
1,not work,2021-02-04 03:56:45,Krita_za
1,error,2021-02-03 19:39:06,Mian Abdul Wahid
1,bug,2020-05-25 14:18:40,ASM1990
1,sign issues,2020-05-06 13:09:51,Manojram1967
1,violation privacy,2021-06-29 20:00:15,Fisal1999
5,good app,2021-02-17 12:42:07,Feras89
1,system,2021-02-04 13:33:26,Ram Derma
1,needs improvement,2021-02-04 01:34:09,gglai16
3,not working,2021-07-31 13:02:19,Sofia Zhdanvich
1,always network busy,2021-02-03 19:46:31,arrrrrrtj
2,feeling tracked,2021-02-03 18:11:01,94smifv
1,ca not log immediately,2021-02-03 17:27:48,ofw07
1,worst app ever,2020-05-25 16:13:12,Amjad ilyas
1,error creating user,2020-04-07 23:07:34,faisalmzahrani
1,log,2021-05-09 11:15:51,nickhallareous
1,need server log,2021-02-06 00:07:43,Saad40896
1,want make necessary app least make works,2021-02-04 15:51:09,I Ibliii
1,always busy,2021-02-03 19:19:53,Bo sa7y
1,upgrade,2021-01-17 07:03:52,Hajjkamil
1,new update problem,2020-05-25 13:37:34,Kmalik115
1,app error,2020-05-25 09:55:34,€€><
1,no password coming,2020-04-09 06:57:42,Mahmodemjd
1,no functionality,2020-04-09 06:08:20,blitz_jed
5,widgets,2021-04-11 16:06:32,MajidHws
5,good,2021-02-18 14:54:55,HANA655$
5,excellent app useful,2021-02-18 09:44:40,n.aljohar
5,super app,2021-02-18 00:34:36,MajedH78
1,not working well always something went wrong,2021-02-07 08:40:08,mustafa y Ali
3,immune status,2021-04-16 20:42:41,Qurata15
1,make battery worst everytime,2021-08-10 12:25:46,nzhshsyhshs
5,ty update,2021-02-17 08:33:01,eds222
5,suggested,2021-09-12 22:08:29,AppSupport19
1,cant signup,2020-05-12 11:56:38,salman.696
1,eid,2020-05-03 22:22:08,Eid abdoallah
5,thank,2021-02-18 20:55:36,hessa98765
1,tawakkalna,2021-08-18 16:29:34,tutul..
2,force stop,2021-06-04 07:16:06,Mufaisar
5,nice nice,2021-02-17 21:39:06,fhurdfhi gf
5,great,2021-02-17 18:57:46,Mbsharaf
5,good app,2020-06-10 21:34:36,RanaHamed
1,not working,2021-02-03 21:44:13,IAmGoldie
2,error,2020-05-07 13:20:01,NawalAlfahad
1,registration error,2020-05-25 10:13:07,fahod
2,add dependent details spouse,2021-03-09 04:41:29,JUNTOX
1,tawakalna work,2021-08-31 16:24:56,سعداللة
1,no privacy,2021-06-08 13:13:55,tatatote
1,bad application,2021-05-29 14:46:02,it is a useful application
1,useless solution deployment,2021-02-04 14:04:41,moomeed
3,,2020-10-05 16:07:54,yousef20920
1,app not working,2021-02-03 23:02:04,mandhour
5,star,2021-09-10 16:05:54,Husaljohani
5,best application thanks kingdom saudi arabia,2021-08-11 16:56:33,🇸🇦Ali Alshahrani
1,go without phone,2021-06-30 23:19:32,M7md MG
5,great heath app,2021-06-23 08:22:45,KSA-Sarah
1,coronavirus vac appointment not working,2021-05-20 19:55:53,mosaudi
1,not working not able register,2020-04-17 17:21:13,the z z z. b
