userName,rating,date,review
Nehad Mohamed,1,2021-09-28 19:57:33,It asks to update so much that I do not know how to log in
Shaik Shaik,4,2021-09-28 19:56:34,It is ok
Salta Rick,5,2021-09-28 19:55:19,Very good
Asif khan,1,2021-09-28 19:54:21,Worst app ever it needs update day
Toufeeq Sagar,5,2021-09-28 19:54:18,Good
Farook Ahmed,5,2021-09-28 19:53:21,Ok
Md sabbir Ahamed,5,2021-09-28 19:51:23,Very good
Muhammed Razin,5,2021-09-28 19:51:17,Good application
KSA BANGLA,2,2021-09-28 19:48:27,Soso
ahmed medany,5,2021-09-28 19:48:25,I have the electronic wallet it does not exist so I am unable to view the ID or licenses knowing that I did an update yesterday and the cards and the electronic wallet disappeared I am working on Android The modification has been processed Thank you the modification has been processed thank God
Salim ali Khan Ex - Indian Army,5,2021-09-28 19:47:07,Masha Allah great
Rana nasir ali,5,2021-09-28 19:46:57,Very good
ابوسعد خالد,1,2021-09-28 19:45:03,The application in every update removes the hiding of women is pictures and in critical circumstances it asks for a forced update while I am outside the house and I do not have internet which makes me go home to the latest application
areej saleh,5,2021-09-28 19:42:26,excellent
Aa Aa,5,2021-09-28 19:41:37,Thank God
md riad,5,2021-09-28 19:40:43,Good
Zahid Khan,5,2021-09-28 19:40:42,Excellent
BABU ALI143,5,2021-09-28 19:40:28,Nice
Annaya Moin,5,2021-09-28 19:39:51,Good
Ehtesham Ali Ibrahim Khaleel,5,2021-09-28 19:39:33,Best
Ammar Mango,5,2021-09-28 19:38:18,Good
Md Saful,5,2021-09-28 19:37:26,Hellp full app
Luisito Hipolito,5,2021-09-28 19:36:55,very good
Sobuj Mia,5,2021-09-28 19:35:32,Nice
Mohammad Halim,5,2021-09-28 19:33:16,Excellent service
Ahmad Husain,1,2021-09-28 19:30:28,good
Sahel shaikh,4,2021-09-28 19:26:42,Very good app
Miftah Mohammed,5,2021-09-28 19:26:10,I am happy doeses
Aries Bermillo,4,2021-09-28 19:26:01,No comments
Sarrah Shahul,5,2021-09-28 19:23:10,Good
Nafliy Moha,5,2021-09-28 19:21:18,Good
japor mahmud,5,2021-09-28 19:21:00,wow
Mr Joel,5,2021-09-28 19:20:44,Excellent
Damz Hadjiruddin,5,2021-09-28 19:20:35,Good
Lovely Heart,5,2021-09-28 19:19:30,Awsem app its good for your personal information any where in saudi love u saudi arabia
Arslan Jamal,5,2021-09-28 19:19:30,Good working
Asif Khan Jadoon,4,2021-09-28 19:17:46,Its busy site better to keep it logged In Really helpfull but there is glitches that Tawaklna Health Passport data is not being synchronise with with Sehtti App for Health certificate Needs to resolve this issue ASAP Thanks
Shakeel Ahmed,3,2021-09-28 19:13:50,Very good software
Vangei Romero,5,2021-09-28 19:13:40,Good
Abubakar Dhl,5,2021-09-28 19:07:49,Very very good
New New,5,2021-09-28 19:06:00,Good
Nareshboncys Nareshboncys,5,2021-09-28 19:04:21,Very good
Sardar Hussain,5,2021-09-28 19:04:10,Good application
md motin,5,2021-09-28 19:02:04,Mmmm
md zahid,5,2021-09-28 19:00:36,Good
Nazim Shabakkat,5,2021-09-28 18:57:58,Very good app
Mahmoud Zidan,5,2021-09-28 18:56:27,Best app of all time
Nisar Nisar,5,2021-09-28 18:55:56,Ok
peter baldago,5,2021-09-28 18:55:41,nice app
Rafeeq Rafeeqlss,5,2021-09-28 18:55:27,Very good
Shahidullah Bablu,5,2021-09-28 18:55:20,Useful
SAQIB SAQIB,5,2021-09-28 18:53:51,good
Haji Dilbar Tunio,5,2021-09-28 18:53:32,V good work
Free Man,1,2021-09-28 18:53:10,Bad
Rosevilla Austria,1,2021-09-28 18:53:11,I wanna install this app but it is always pending Why
Dinanath Ram,5,2021-09-28 18:51:03,Good
Mr Epic,5,2021-09-28 18:50:45,Easy to use
Shahporan Hosin,5,2021-09-28 18:49:52,Good
Nhordz Mangacop,1,2021-09-28 18:49:13,One of the idiot app in google playstore almost everyday need to update
javed qadir,4,2021-09-28 18:47:51,Nice
Siko Silo,5,2021-09-28 18:47:42,Good
Nor Emealia Ibrahim,5,2021-09-28 18:47:06,Good
Fathima Pp,4,2021-09-28 18:46:27,Top
ashraful Islam,5,2021-09-28 18:45:24,Good
Renato Ponciano,5,2021-09-28 18:41:50,Excellent
Shirin Mahamud,3,2021-09-28 18:36:53,Verry Intalijen apps
Rashid Mohammed,5,2021-09-28 18:36:53,Very good
Kyamuddin Alam,5,2021-09-28 18:34:34,This is best app
RK brand,5,2021-09-28 18:34:24,This is good
It's Mehedi26,1,2021-09-28 18:32:37,take too much time
Lorenzo Castro,5,2021-09-28 18:32:29,Ok
othman kha,5,2021-09-28 18:30:56,Best of the best App one of its own lead others follow
Sabrina Scarlette Etiong,5,2021-09-28 18:28:28,Great
Ernie Nengasca,1,2021-09-28 18:28:18,Very Slow
mohammed rayees ahmed,4,2021-09-28 18:28:14,Good and awesome
Jerry Bern Layco,2,2021-09-28 18:26:23,Always updated hard open
md mid,2,2021-09-28 18:25:37,MD johirul islam
Rico Elumbaring,1,2021-09-28 18:25:15,i need open of tawakkalna
Wedad Ah,5,2021-09-28 18:20:59,sweet
Akhtar Sanjrani,5,2021-09-28 18:20:08,Thanks for new update
Moon Mona,5,2021-09-28 18:19:50,Very good
Gegy Ahmed,5,2021-09-28 18:19:10,Very sweet
Muhammad Iqbal,5,2021-09-28 18:17:17,Great fully experience
Joseph Pacay,5,2021-09-28 18:16:17,Very good
Indian Army jai hind,5,2021-09-28 18:16:03,Good
Eross Lee,5,2021-09-28 18:15:22,Good
asker zamzam THRKKULAM,5,2021-09-28 18:15:15,All qassim
Anthony Etiong,5,2021-09-28 18:12:59,Great
Alamctg মিডিয়া,5,2021-09-28 18:12:58,Yki
Muhammad Javed,1,2021-09-28 18:12:40,Worst app
ilyas hossain,1,2021-09-28 18:09:35,Disgusting update
আবাবিল টিভি,5,2021-09-28 18:08:44,Great App
khan khalid hasan,2,2021-09-28 18:05:36,iam fedup doing evey time upgrade try to do one time and final
Deep Sea,5,2021-09-28 18:04:32,Excellant
Azhar Malik,5,2021-09-28 18:01:30,Its very easy
Alam Sebraj,4,2021-09-28 18:01:18,GOOD
Rishabh Singh,5,2021-09-28 17:59:54,Good
Remar Marquino,5,2021-09-28 17:52:43,Good
alkafaa co,5,2021-09-28 17:52:13,Good applicantion
وهج العلوم,5,2021-09-28 17:42:26,Excellent
nolip bustamante,1,2021-09-28 17:41:59,Good
Kamrul Islam,5,2021-09-28 17:41:36,Good
MUSTAKEEM KHAN,4,2021-09-28 17:38:57,Good
muhammed jabir,5,2021-09-28 17:34:07,Its very good App
Jennifer Pabiona,1,2021-09-28 17:26:16,So annoying that everyday there is an update PLEASE STOP
MRC Videos BD,4,2021-09-28 17:25:27,Good Apps
Abdelaziz Messaoudi,5,2021-09-28 17:23:09,Very good
S Selvakumar,3,2021-09-28 17:21:54,Ok
weng tolentino,5,2021-09-28 17:21:19,I have before corona virus maybe year finished do i have to take a second dose can i have an answer pls thank you
Sabol Moslem,5,2021-09-28 17:11:44,Good
Musa Vai,5,2021-09-28 16:52:30,Nic
Osman Sharfi,5,2021-09-28 16:49:21,The software is fine but cannot open without internet
Mahmoud Radwan,1,2021-09-28 16:45:07,Unprofessional frontliners who can not manage complaints and very long time business days to close complaints which is very long time
Md Nawab,5,2021-09-28 15:38:04,Nice work this app
Joan Borres,4,2021-09-28 15:35:50,Good
Dashrath Adhikari,1,2021-09-28 14:59:22,This app can leak your privacy it need all time location access
Hydie Elibado,1,2021-09-28 14:58:54,Not opening
Monirampur Hf,5,2021-09-28 14:48:20,Very good
siva vs,5,2021-09-28 14:29:08,Very comportable and use ful
A7med Hassan,5,2021-09-28 14:23:33,WL
Shaikh Muhammad Ibraheem,1,2021-09-28 13:51:33,Extremely poor
Faith Ayieko Shisindayi,4,2021-09-28 13:10:42,Good
funny group,5,2021-09-28 12:59:43,Good Work
Mohammed Qureshi,5,2021-09-28 12:28:32,Good
PC joy,5,2021-09-28 10:53:18,Nice
SUNDAR T,3,2021-09-28 10:34:57,without internet unable to use
Nawaz Hashmi,4,2021-09-28 10:16:36,Very nice
Moideenps Psmoideensaid,5,2021-09-28 10:10:51,Excellent
Alex Cassandra,5,2021-09-28 08:25:20,Gd health gd condition
Wadhah Almutairi,5,2021-09-28 08:12:10,It is easy and competable
Mary joy Cambalon,5,2021-09-28 07:50:53,Exelent
Jancy Mol,1,2021-09-28 06:22:11,Not useful Altime pop up while it is open And cnt update it I do not know hw it is created
Sanif Ahemad,3,2021-09-28 06:08:55,Not god
Ryis Flurinf,1,2021-09-28 05:57:42,Why take too much time when I was update tawakalna
Hannah Soliven,5,2021-09-28 03:27:00,Good
Rangzab Rangzab,5,2021-09-27 22:39:50,Great
Gaudencio Arong jr.,5,2021-09-27 22:26:52,Excellent
abdullah Al Ashrafi,4,2021-09-27 22:16:13,The new update has a problem and does not open my device
Hg 2t,5,2021-09-27 20:56:16,Si application
Shapla sobuj,5,2021-09-27 20:47:31,good
Adnan Ahmad Shanto,1,2021-09-27 20:35:59,It s not good run first
Aa Rr,5,2021-09-27 20:23:59,Good
Ganzeb Blamabas,1,2021-09-27 19:19:16,Good
Galaxy Hail,5,2021-09-27 18:34:57,Good apps
Mohan Saru,5,2021-09-27 18:26:03,It is a good app
Leone Mr,5,2021-09-27 18:12:29,Very good
M Afzal,5,2021-09-27 18:09:45,Great
Abdul Rahman,5,2021-09-27 17:13:42,Good
Suraj Singh,5,2021-09-27 17:04:22,Nice
VENOM VENOMOUS,5,2021-09-27 16:55:30,Life changing and very easy to use
AABID KHAN,5,2021-09-27 16:23:53,Aap is so good
ramesh r.l.,1,2021-09-27 15:57:04,Worst application I ever seen
Vishnu S,5,2021-09-27 15:48:33,Verry good
Shuja Nayyar,5,2021-09-27 15:43:08,Excellent Service
Nankya Sharifah,5,2021-09-27 15:36:55,Gud
Sojib islam,5,2021-09-27 14:52:28,verry good
Md Jakir,5,2021-09-27 14:39:12,GOOD PERFORMANCE
Baba Goma,1,2021-09-27 13:48:47,Very bad experience ever
khan khan,5,2021-09-27 11:19:04,Great apps
Sabi Rouli,5,2021-09-27 10:21:17,Awssme
Nagen Chaudhary,5,2021-09-27 09:56:34,Good
omar Motaz,5,2021-09-27 09:45:12,I finished my days home quarantine and I made pcr and it came negative and I can not book vaccine till no
Moath Mad,1,2021-09-27 09:26:58,failure
Tanni Partner,1,2021-09-27 08:41:51,Why not ooen in pakistan
Raj Khan,5,2021-09-27 08:24:09,Why not support this app on my mobile
Vishwas FF,5,2021-09-27 07:38:14,Op
MD Abdulhok,5,2021-09-27 07:15:29,Good
Khalid Wisal,1,2021-09-27 06:32:48,Please update my Talking Angela
md Mizan,2,2021-09-27 01:50:22,Good
Abid Khan,4,2021-09-26 22:57:35,Good
Mahveen Unissa,5,2021-09-26 22:53:43,Usefull ap
Sweet bangla2,5,2021-09-26 22:15:05,Good app
Jinky De Guzman,5,2021-09-26 21:08:18,Loading
Sofy Ayesha,5,2021-09-26 20:50:41,Nice application for me
Kamal Ahmed,5,2021-09-26 20:37:35,Nice
Raam NS,5,2021-09-26 20:19:13,Good
Usman Khan,5,2021-09-26 20:12:00,Excellent
manoj majumder,5,2021-09-26 20:03:05,Good
Riham Alam,5,2021-09-26 19:37:05,Oh z to delete DC ex a aw we A ok
Norjannah Ampang,5,2021-09-26 18:56:11,Great
mdrana Chy,5,2021-09-26 18:47:46,nice
HURABOG TV,5,2021-09-26 18:11:07,Nice
sajid ali,4,2021-09-26 18:00:47,tm
Tasrif Raihan,5,2021-09-26 17:48:31,good app
لجين عمر,5,2021-09-26 17:02:09,Good app
Eekk Eekk,5,2021-09-26 16:49:51,Oops
Lala مغيري,5,2021-09-26 16:17:44,Mashallah
Quietly 2804,5,2021-09-26 16:12:03,I swear God willing but it does not open quickly
Tahir Shah,5,2021-09-26 16:02:21,great app
Muhammed Jainaf,4,2021-09-26 15:42:47,Good
Kareem Mangalore,2,2021-09-26 14:55:37,Good
Kasib Khan,5,2021-09-26 14:48:36,Superb
Abdul Kader,5,2021-09-26 14:41:33,nice
Qasim Rajpoot,5,2021-09-26 14:40:01,Good
Rafiqul Islam,5,2021-09-26 13:53:34,Good
md ali,5,2021-09-26 13:09:16,nice apps
Zafeer Shah,5,2021-09-26 13:01:37,Nice
Ajaz ahamad Edreesi,5,2021-09-26 12:59:45,Awesome
ayoob khan,5,2021-09-26 12:59:16,Wy do not update
Muhammad Amir Shahzad,2,2021-09-26 11:26:40,Why this app not working in Pakistan
Abdullah Abdulaziz,1,2021-09-26 09:15:23,Unlock the freedom to customize the interface
Imtiaz Ali,5,2021-09-26 08:46:32,Goooooood
Abdullah Al-Amoudi,2,2021-09-26 07:37:04,The application is very excellent but unfortunately there is no technical support at the level of the application as the application reflects wrong data and complaints are not responded to quickly knowing that I have a complaint for more than a day and it was closed only to close and the complaint was not resolved We hope to see an improvement in the service
Murugan Thiru,5,2021-09-26 05:28:37,Good
Muhammad Shahzad,5,2021-09-26 04:38:44,Nationality ption is not opening
Jahangir Alam Ya Sin,5,2021-09-26 04:36:54,this apps is helpful nice apps and very easy
Jhunjacob conel,5,2021-09-26 04:27:03,These app is can provide to help me
T. S.,5,2021-09-26 04:06:07,Superb
Ibrahim Awad,1,2021-09-26 03:26:31,Hello sir Application is requesting from me ro update my phone number although my current phone number is already active and currently working Why the application is forcing me to change my phone number please support and justify Screenshot is attached Your further response is highly appreciated
M.E. Wizzy,5,2021-09-26 01:50:22,Mashallah
Rj Raj Ahmed,2,2021-09-26 00:36:25,It is good app
Abul Bashar,5,2021-09-26 00:08:03,Good
Khalid Waleed,5,2021-09-25 23:31:45,I wish service providers to make a system so that the application works completely without the presence of the Internet
Ummu juhara,5,2021-09-25 23:27:10,Good
Evander Mangulu,5,2021-09-25 23:24:51,Update
Abdul Nazer,5,2021-09-25 23:16:32,Good
ahmad jutt,5,2021-09-25 22:59:20,Impressive
SENTHIL KUMAR,5,2021-09-25 22:42:22,good
Momen Islam,5,2021-09-25 22:36:34,Good
Numanul Islam,5,2021-09-25 22:04:24,very good
Faris Yas,3,2021-09-25 21:19:05,Too many useless updates
ahmed nirob,5,2021-09-25 21:12:04,That s good
Awadyousef Altareefe,5,2021-09-25 21:07:27,Good application
venz bill abdullah,5,2021-09-25 20:32:17,its needed
John Santillan,5,2021-09-25 20:13:05,Okay
md SOPON,5,2021-09-25 19:52:40,Nice
Samran,5,2021-09-25 19:51:52,Excellent and Excellent
hanaa amin,3,2021-09-25 19:46:46,This app is so good and helpful but it should make the Internet open so I can not open it out side without Internet so please fix this problem quickly
Azijul Hawlader,5,2021-09-25 19:33:31,Super
Shami2019 Shami,1,2021-09-25 18:57:41,Bad
Joneil Herman,5,2021-09-25 18:54:57,Very useful
Yk Ch,1,2021-09-25 18:52:29,Fu
Aazam Khan,5,2021-09-25 18:44:30,Good
Gulam Fareed,5,2021-09-25 18:21:15,good
MD ANIS,4,2021-09-25 18:04:17,Nice
Tassie T,1,2021-09-25 17:56:54,I have so many issues with updating my information it is unreal
Sammo Khan,5,2021-09-25 17:47:47,Very nice and easy to use App
Neko Kitty,3,2021-09-25 17:41:11,Excuse me the wont lemme takr screen shoot so i can print it and show it to the school every time i try to take screen shot it said screen shots are not permitted on thus screen it was just working fine but now it wont
Shihab Bin Ahmadi,5,2021-09-25 17:35:46,Masha Allah
Rafiquar Khan,5,2021-09-25 17:04:04,Great
angelito lopez,5,2021-09-25 16:44:45,Excellent
Jesan Ahmed,1,2021-09-25 16:27:44,Waw
H SERIES,5,2021-09-25 16:19:39,To Good
Chris Calvo,5,2021-09-25 16:01:35,It is usable for all the people inside the Kingdom
Fares Basulayman,5,2021-09-25 15:50:02,The problem with the Android application is that there are many errors I registered from an iPhone and used it no problem
Niza Ron,5,2021-09-25 14:57:48,Update always delayed
Shah Zaman,5,2021-09-25 14:20:38,Very good app
$@eeD KT,4,2021-09-25 14:12:06,Good experience
Rafed Al-sarah,3,2021-09-25 13:59:46,Good
CARZY GAMER FF,5,2021-09-25 13:42:34,Super
Youssef Hamed,1,2021-09-25 13:25:52,Bad
Vennampally Sridhar,5,2021-09-25 13:25:00,Good application
George Walton,5,2021-09-25 13:21:25,Right app for the job
Mdrimon Khan,5,2021-09-25 12:22:51,Good
Younuskg Gort,5,2021-09-25 11:08:49,Not good not opini o ani time
Anna G,5,2021-09-25 10:54:42,Great app
Emraan khan pyaar sa immi,5,2021-09-25 10:32:09,His perfect thanks ksa
Ashraf Ashraf,5,2021-09-25 09:54:03,Nice
mohmmed tayav,5,2021-09-25 09:07:56,Uyyj
Kamrol Khan,5,2021-09-25 08:56:01,good
bgm bgm,2,2021-09-25 08:23:19,While updating issues happen
Manjit Kumar,5,2021-09-25 07:43:25,Nice
Nazmul Haque,5,2021-09-25 03:56:09,Very good
عبد قدوس برماوي,5,2021-09-25 01:39:51,May God protect us from Corona
Muhammad Abdullah,5,2021-09-24 23:28:08,Best app
Ghani Abdullah,5,2021-09-24 22:53:34,Good
Sulman Ali,5,2021-09-24 22:12:38,Good
a,1,2021-09-24 22:09:40,The application requires mandatory access to the site
Anoop Govind,1,2021-09-24 22:00:27,Why I can not update this app always showing pending
venugopal pillai,5,2021-09-24 21:56:47,Very good sevice
Po Po,5,2021-09-24 21:26:22,Good
محمد محمد,5,2021-09-24 21:16:53,vary good
Asahad Ansari,5,2021-09-24 21:15:57,Ok
nizam sakaka,5,2021-09-24 20:53:26,Good
I O,1,2021-09-24 20:07:49,very slow and hanging
waqar khan,5,2021-09-24 20:05:37,Good
Umar Khan,5,2021-09-24 20:02:15,Very good app
Larvin bandoy,5,2021-09-24 19:49:32,Very nice
Dt Hj,5,2021-09-24 19:48:16,Good
Mohammed Sobhy,5,2021-09-24 19:45:11,Very good
Shaid Bagh,5,2021-09-24 19:13:25,Good
Mizan Khan,5,2021-09-24 19:09:49,Good
Abdulla,1,2021-09-24 19:07:54,Very very tired application You cannot choose your country or nationality in the new registration field and the evaluation is zero for you on the far north and it needs a Saudi mobile number Why Let it accept at least a Gulf or Arab number and the traveler can dictate the data while in his country You Saudi backwardness I need a Saudi mobile
Afshan Jabeen,1,2021-09-24 18:58:35,Waste dumbest
Haji Hashmat Ali,5,2021-09-24 18:55:28,Well done
Sarfaraz Ahmad,5,2021-09-24 18:54:16,Good
B A N deshi,1,2021-09-24 17:40:22,pub McDonald is
Muhammad Hassan,5,2021-09-24 17:33:33,MashaAllah very very very nice experience with this application deserves stars All things related covid infections covid vaccune even though hajj and umrah permit gathering permit every facility is available and all though for free nuce work keep it up
Fox Fox,5,2021-09-24 17:08:12,KSA good country App is very good
Rakesh Verma,5,2021-09-24 17:03:26,Good
Marnelli Mariano,3,2021-09-24 16:33:49,superb
عراش احمد,3,2021-09-24 16:33:16,This application is very important and very good
Sabir Hussain,5,2021-09-24 16:25:08,Super se bhi upper
Jely joy,5,2021-09-24 16:03:21,Very good apps
Eric Calalo,5,2021-09-24 15:45:02,Ok
Amjad Shain,4,2021-09-24 15:42:52,Good
Mr. Mohamad Mahmoud,5,2021-09-24 15:19:38,Excellent application may Allah reward you
Ahmed Elgaml,5,2021-09-24 14:27:11,Ok
Gsm Yousuf,5,2021-09-24 14:16:22,Very good app
Mariamhamid Abdullah,5,2021-09-24 13:57:15,Good
Mohammed KHabib69,5,2021-09-24 13:53:17,Nice
Shirajul Islam,5,2021-09-24 13:52:40,Good
